date,home_team,score,away_team
12-08-2023,Arsenal,2 - 1,Nott'm Forest
21-08-2023,Crystal Palace,0 - 1,Arsenal
26-08-2023,Arsenal,2 - 2,Fulham
03-09-2023,Arsenal,3 - 1,Man United
17-09-2023,Everton,0 - 1,Arsenal
24-09-2023,Arsenal,2 - 2,Tottenham
30-09-2023,Bournemouth,0 - 4,Arsenal
08-10-2023,Arsenal,1 - 0,Man City
21-10-2023,Chelsea,2 - 2,Arsenal
28-10-2023,Arsenal,5 - 0,Sheffield United
04-11-2023,Newcastle,1 - 0,Arsenal
11-11-2023,Arsenal,3 - 1,Burnley
25-11-2023,Brentford,? - ?,Arsenal
12-08-2023,Newcastle,5 - 1,Aston Villa
20-08-2023,Aston Villa,4 - 0,Everton
27-08-2023,Burnley,1 - 3,Aston Villa
03-09-2023,Liverpool,3 - 0,Aston Villa
16-09-2023,Aston Villa,3 - 1,Crystal Palace
24-09-2023,Chelsea,0 - 1,Aston Villa
30-09-2023,Aston Villa,6 - 1,Brighton
08-10-2023,Wolves,1 - 1,Aston Villa
22-10-2023,Aston Villa,4 - 1,West Ham
29-10-2023,Aston Villa,3 - 1,Luton
05-11-2023,Nott'm Forest,2 - 0,Aston Villa
12-11-2023,Aston Villa,3 - 1,Fulham
26-11-2023,Tottenham,? - ?,Aston Villa
12-08-2023,Bournemouth,1 - 1,West Ham
19-08-2023,Liverpool,3 - 1,Bournemouth
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Brentford,2 - 2,Bournemouth
17-09-2023,Bournemouth,0 - 0,Chelsea
24-09-2023,Brighton,3 - 1,Bournemouth
30-09-2023,Bournemouth,0 - 4,Arsenal
07-10-2023,Everton,3 - 0,Bournemouth
21-10-2023,Bournemouth,1 - 2,Wolves
28-10-2023,Bournemouth,2 - 1,Burnley
04-11-2023,Man City,6 - 1,Bournemouth
11-11-2023,Bournemouth,2 - 0,Newcastle
25-11-2023,Sheffield United,? - ?,Bournemouth
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Fulham,0 - 3,Brentford
26-08-2023,Brentford,1 - 1,Crystal Palace
02-09-2023,Brentford,2 - 2,Bournemouth
16-09-2023,Newcastle,1 - 0,Brentford
23-09-2023,Brentford,1 - 3,Everton
01-10-2023,Nott'm Forest,1 - 1,Brentford
07-10-2023,Man United,2 - 1,Brentford
21-10-2023,Brentford,3 - 0,Burnley
28-10-2023,Chelsea,0 - 2,Brentford
04-11-2023,Brentford,3 - 2,West Ham
12-11-2023,Liverpool,3 - 0,Brentford
25-11-2023,Brentford,? - ?,Arsenal
12-08-2023,Brighton,4 - 1,Luton
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Brighton,1 - 3,West Ham
